,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0,0.5703635692596436,0.00514728580841754,0.009461688995361327,0.00021423107494754367,1,2,50,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-438.24,-290.34000000000003,-124.78,-168.94,-97.28,-223.916,125.88400082615742,63,-80.63833071698545,-43.86362417508608,-42.625760180058194,-23.139442739817188,-12.898751637830422,-40.633181889955466,23.19503217991144,69
1,1.1438458442687989,0.015566825832666546,0.01807408332824707,0.0011730669310488129,1,2,100,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-439.19,-291.28,-125.03,-161.78,-94.4,-222.336,127.50061907300687,55,-80.70747132751833,-43.67650021618056,-42.80957976018903,-22.550490283528013,-13.253548510114777,-40.599518019506135,23.223133128484786,68
2,2.2679802417755126,0.028373751408709413,0.035416030883789064,0.0014359587318479897,1,2,200,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-440.535,-295.125,-131.91,-163.045,-86.265,-223.37600000000003,128.92729371238661,58,-80.8030748908423,-43.33344138996572,-42.30582750309524,-22.113208388277076,-13.098456360221174,-40.3308017064803,23.342676830394268,56
3,3.4207079887390135,0.05092613091989745,0.0517059326171875,0.0009192457114003988,1,2,300,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-442.5733333333333,-293.90999999999997,-132.2,-165.35333333333332,-84.90666666666667,-223.78866666666667,129.51842627552608,61,-80.81992626469506,-42.77559103543397,-42.978223895475516,-22.327070003577166,-13.185801650925464,-40.41732257002143,23.29507673542816,60
4,4.5658046245574955,0.05529613884580923,0.06847028732299805,0.003449753694163235,1,2,400,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-442.335,-292.9525,-135.9425,-169.23,-83.92750000000001,-224.87749999999997,128.68173989537132,70,-80.82263214208099,-42.67736854155189,-42.95606310167422,-22.676491250496596,-13.16843491187736,-40.46019798953621,23.243802769342423,64
5,5.685236692428589,0.06956405079980942,0.08303308486938477,0.002961975302196627,1,2,500,"{'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-441.83,-292.906,-140.948,-163.986,-86.038,-225.1416,127.84698496812508,71,-80.85096618563495,-42.8098920037714,-43.208636944139386,-22.127965769889517,-13.186241342485284,-40.436740449184114,23.342775465560916,61
6,0.558184289932251,0.01657608733785478,0.009155750274658203,0.0002088705692601386,1,3,50,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}",-439.8946666666667,-287.6450476190476,-133.15466666666663,-165.178,-95.26366666666667,-224.2272095238095,125.6557892444745,67,-80.68744699742248,-43.89906697253451,-43.59031599140949,-23.111598124059913,-12.832089885598327,-40.82410359420494,23.252867176243456,71
7,1.0980540752410888,0.005838766183920892,0.017275238037109376,0.00042831188976922446,1,3,100,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",-439.46064285714283,-291.78469047619046,-139.0173333333333,-152.29066666666668,-90.6945,-222.64956666666666,127.39197226165093,56,-80.82252966357127,-43.74196682626685,-43.58930074091809,-21.67966481590647,-13.101308706056024,-40.58695415054374,23.455558072154343,67
8,2.1973493576049803,0.03493517750401919,0.03348631858825683,0.0012321018518446506,1,3,200,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",-441.0254880952381,-296.25836904761906,-140.97016666666664,-152.3901666666667,-85.96479761904763,-223.32179761904763,129.1469497415947,57,-80.90334477987115,-43.47704784431345,-42.63946447051154,-21.397064254447432,-13.044253172162506,-40.292234904261214,23.513378097530076,55
9,3.3007537841796877,0.05163831109026077,0.0496030330657959,0.0018937409795237038,1,3,300,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",-442.7573253968254,-294.70834126984124,-143.16383333333326,-152.3603611111111,-84.4894761904762,-223.49586746031747,129.60175627430078,59,-80.87759462076008,-42.95619281811225,-43.089547730687,-21.771454815652376,-13.15386502549707,-40.369731002141755,23.41612026222343,58
10,4.399755144119263,0.04399554667247357,0.06513791084289551,0.0018206319688965817,1,3,400,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}",-443.14184523809524,-293.61621428571425,-144.93633333333327,-154.12189583333333,-84.10341964285713,-223.98394166666662,129.28621764195074,64,-80.88078770853245,-42.8531188403355,-43.16359098558298,-21.894448186887548,-13.13427216182158,-40.385243576632014,23.40181050421924,59
11,5.513397169113159,0.05744084255591429,0.08191008567810058,0.0028433078577280004,1,3,500,"{'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",-442.756219047619,-293.18480476190473,-144.76603333333333,-150.9163166666667,-86.55280238095237,-223.63523523809528,128.95823641158097,60,-80.89969983925548,-42.8796446048341,-43.2554338757796,-21.59638603872378,-13.18016661295175,-40.362266194308944,23.447882358447345,57
12,0.5322914600372315,0.005210784130060296,0.00891408920288086,0.00016014720598913322,1,4,50,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",-440.32214285714286,-286.8237857142857,-142.67783333333333,-163.63049999999998,-99.11628571428571,-226.51410952380957,123.74506634504594,72,-80.60941457480013,-43.27122411623277,-44.18624858761135,-23.591153696415326,-12.901485700108053,-40.911905335033524,23.137726742874673,72
13,1.070713710784912,0.011914273628575276,0.01693110466003418,0.00040029141481543286,1,4,100,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",-440.3327380952381,-289.4705833333333,-144.3965238095238,-151.97708333333333,-92.82622619047619,-223.80063095238097,126.34605256668489,62,-80.77361267724442,-43.53837077429806,-43.696061626806866,-22.35979721215856,-13.326750577951888,-40.738918573691954,23.27478212947967,70
14,2.158941411972046,0.028347186525563194,0.032801342010498044,0.0011476039440684262,1,4,200,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-441.6943809523809,-294.0444880952381,-149.25929166666668,-150.01718452380953,-85.68536904761905,-224.14014285714285,128.4426278258959,66,-80.85034148358928,-43.41597143740444,-43.011409121023355,-21.82947829104218,-13.14427757696796,-40.450295582005445,23.408851746995136,63
15,3.2061822414398193,0.028480425742288488,0.048334360122680664,0.0011827692197540797,1,4,300,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",-443.36736904761904,-293.5041335978836,-148.12547222222224,-150.62136507936503,-85.74903246753247,-224.27347448292448,129.00169867143816,68,-80.89166803581224,-42.89960407559517,-43.47383245557042,-21.901804768720513,-13.323861503368937,-40.49815416781345,23.368885203715006,66
16,4.2730817794799805,0.07961130474798664,0.06294918060302734,0.002294982740086205,1,4,400,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",-443.114625,-293.0358412698413,-148.38381547619048,-153.3303452380952,-84.79591522366522,-224.53210844155836,128.73658008218183,69,-80.8490190122369,-42.82554541633281,-43.4509017011748,-22.03583130930653,-13.296961385685934,-40.49165176494739,23.337051246498053,65
17,5.246850776672363,0.025646546212376487,0.07963614463806153,0.0013356622763050592,1,4,500,"{'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",-442.5641428571429,-292.974153968254,-148.82040000000003,-149.22087142857137,-86.39529884559884,-223.9949734199134,128.61311164732447,65,-80.87590572515555,-42.92447714905216,-43.43340116284402,-21.654675902255914,-13.319363450090128,-40.441564677879555,23.403473524791373,62
18,0.4752347469329834,0.004702738582522341,0.008741331100463868,0.00018207884371245853,2,2,50,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
19,0.9578364372253418,0.008776542261322611,0.017097091674804686,0.0007450312663029031,2,2,100,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
20,1.9096201419830323,0.023580031292900348,0.03183422088623047,0.0004743547098204118,2,2,200,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
21,2.8801305294036865,0.04120249287519897,0.04742422103881836,0.0015179632895929108,2,2,300,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
22,3.841023254394531,0.048331637529229414,0.06355428695678711,0.0035683068084860583,2,2,400,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
23,4.816614294052124,0.053691687629496374,0.07813239097595215,0.0025573239712612583,2,2,500,"{'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-443.7774412698413,-292.4002444444444,-125.90789047619052,-137.4168976190476,-89.0765238095238,-217.71579952380952,132.74509501229568,46,-80.85406808514954,-42.5307237730907,-41.868235735698285,-18.70895986624847,-13.051474101450278,-39.40269231232746,23.902708224797124,31
24,0.4911810874938965,0.013037244518971798,0.008870458602905274,0.00013283716167952875,2,3,50,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
25,0.95780930519104,0.014514924832618398,0.01649446487426758,0.0001022013881257283,2,3,100,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
26,1.9207576751708983,0.015421824675029042,0.03222227096557617,0.0012994678713426657,2,3,200,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
27,2.8820847034454347,0.027938073818014775,0.047398042678833005,0.0016922141714419518,2,3,300,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
28,3.8231298446655275,0.04053719452549574,0.06309118270874023,0.001159091352407607,2,3,400,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
29,4.8014623641967775,0.05965975275756427,0.07780885696411133,0.0023651057529743263,2,3,500,"{'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",-443.7774412698413,-292.4002444444444,-125.90789047619052,-137.4168976190476,-89.0765238095238,-217.71579952380952,132.74509501229568,46,-80.85406808514954,-42.5307237730907,-41.868235735698285,-18.70895986624847,-13.051474101450278,-39.40269231232746,23.902708224797124,31
30,0.47536439895629884,0.004892462591527604,0.008912181854248047,0.0004097958234686828,2,4,50,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",-440.0750476190476,-289.08738095238095,-142.00100000000003,-132.56314285714285,-87.4395,-218.23321428571427,129.9937069868037,52,-80.51281765635723,-42.91480865171368,-43.20239237476533,-19.08454657212989,-12.483933209767033,-39.63969969294663,23.891340954400032,52
31,0.9544559478759765,0.012721199736728198,0.016884613037109374,0.0005613634053789399,2,4,100,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",-441.47766666666666,-291.0699682539682,-125.86280952380955,-135.18861904761906,-90.16920238095237,-216.7536531746032,131.87980919107815,25,-80.7048132969031,-42.91675508471634,-42.68541220217736,-18.71283402761723,-13.09641746506262,-39.62324641529533,23.86980182778056,49
32,1.928002166748047,0.023639497744240585,0.032196569442749026,0.0006847006420919173,2,4,200,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-442.7594880952381,-293.89071031746033,-121.61530952380954,-137.84615476190476,-88.84011904761905,-216.99035634920637,133.16760327654094,37,-80.69180942244586,-43.11368224130767,-41.751275001819295,-18.678070329617093,-13.102859180432475,-39.46753923512448,23.854763181009478,40
33,2.8776209354400635,0.029467433895317578,0.04672904014587402,0.0008236779041895323,2,4,300,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",-444.0562632275132,-292.96995105820105,-122.09453174603178,-136.94607936507936,-88.2208492063492,-216.85753492063492,133.660485144858,34,-80.77110805706852,-42.70658423021722,-41.9685722043711,-18.7858588046178,-13.15807059405723,-39.47803877806637,23.8438707856986,46
34,3.841852617263794,0.02049678695178331,0.06223874092102051,0.0008532631206042853,2,4,400,"{'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 400}",-443.84396230158734,-293.15004067460313,-124.27401488095245,-137.82631845238095,-87.81173214285715,-217.38121369047622,133.27600986379295,43,-80.8172548899045,-42.60853108031971,-41.80986355566362,-18.859552878182956,-13.105595205732042,-39.44015952196057,23.852835236837468,34
